date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:30:54	57425/57425	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202022%2019:09:04%20GMT	https://ww4.ibomma.one/telugu-movies/	C:/My%20Web%20Sites/ibomma/ww4.ibomma.one/telugu-movies/index.html	(from https://ww4.ibomma.one/)
23:30:55	26826/26826	---MCZ	200	added ('OK')	text/css	etag:W/%22632b9540-68da%22	https://ww4.ibomma.one/wp-content/themes/ibomma-ind/style.css	C:/My%20Web%20Sites/ibomma/ww4.ibomma.one/wp-content/themes/ibomma-ind/style.css	(from https://ww4.ibomma.one/telugu-movies/)
23:30:55	4328/4328	---MCZ	200	added ('OK')	text/css	etag:W/%22632b954a-10ee%22	https://ww4.ibomma.one/wp-content/themes/ibomma-ind/css/responsive.css	C:/My%20Web%20Sites/ibomma/ww4.ibomma.one/wp-content/themes/ibomma-ind/css/responsive.css	(from https://ww4.ibomma.one/telugu-movies/)
23:30:56	93636/93636	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263258bd3-16dc4%22	https://ww4.ibomma.one/wp-content/themes/ibomma-ind/js/jquery.min.js	C:/My%20Web%20Sites/ibomma/ww4.ibomma.one/wp-content/themes/ibomma-ind/js/jquery.min.js	(from https://ww4.ibomma.one/telugu-movies/)
23:30:57	2195/2195	---MCZ	200	added ('OK')	text/css	etag:W/%2263258bf6-893%22	https://ww4.ibomma.one/wp-content/themes/ibomma-ind/custom/css/YouTubePopUp.css	C:/My%20Web%20Sites/ibomma/ww4.ibomma.one/wp-content/themes/ibomma-ind/custom/css/YouTubePopUp.css	(from https://ww4.ibomma.one/telugu-movies/)
23:30:57	195799/195799	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263258bd2-2fcd7%22	https://ww4.ibomma.one/wp-content/themes/ibomma-ind/js/jquery-ui-1.8.5.custom.min.js	C:/My%20Web%20Sites/ibomma/ww4.ibomma.one/wp-content/themes/ibomma-ind/js/jquery-ui-1.8.5.custom.min.js	(from https://ww4.ibomma.one/telugu-movies/)
23:30:58	22051/22051	---MCZ	200	added ('OK')	text/css	etag:W/%2263258bc9-5623%22	https://ww4.ibomma.one/wp-content/themes/ibomma-ind/css/font-awesome.min.css	C:/My%20Web%20Sites/ibomma/ww4.ibomma.one/wp-content/themes/ibomma-ind/css/font-awesome.min.css	(from https://ww4.ibomma.one/telugu-movies/)
23:30:58	720/720	---MCZ	200	added ('OK')	application/json	etag:W/%2263258bde-2d0%22	https://ww4.ibomma.one/wp-content/themes/ibomma-ind/icon/manifest.json	C:/My%20Web%20Sites/ibomma/ww4.ibomma.one/wp-content/themes/ibomma-ind/icon/manifest.json	(from https://ww4.ibomma.one/telugu-movies/)
23:30:59	205/205	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263258bf5-e5%22	https://ww4.ibomma.one/wp-content/themes/ibomma-ind/custom/ads/wp-banners.js	C:/My%20Web%20Sites/ibomma/ww4.ibomma.one/wp-content/themes/ibomma-ind/custom/ads/wp-banners.js	(from https://ww4.ibomma.one/telugu-movies/)
23:30:59	3282/3282	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263258bfa-cd2%22	https://ww4.ibomma.one/wp-content/themes/ibomma-ind/custom/js/YouTubePopUp.js	C:/My%20Web%20Sites/ibomma/ww4.ibomma.one/wp-content/themes/ibomma-ind/custom/js/YouTubePopUp.js	(from https://ww4.ibomma.one/telugu-movies/)
23:31:00	51358/51358	---M--	200	added ('OK')	image/jpeg	etag:%226394d950-c89e%22	https://ww4.ibomma.one/wp-content/uploads/2022/12/Yashoda-Telugu-2022-230x345.jpg	C:/My%20Web%20Sites/ibomma/ww4.ibomma.one/wp-content/uploads/2022/12/Yashoda-Telugu-2022-230x345.jpg	(from https://ww4.ibomma.one/telugu-movies/)
